City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto carreno,6.189,-67.4859,29.99,66,40,4.12,CO,1669748051
1,vaini,-21.2,-175.2,25.09,78,20,5.14,TO,1669748052
2,akdagmadeni,39.6603,35.8836,6.43,78,100,2.19,TR,1669748053
3,dikson,73.5069,80.5464,-10.23,95,100,2.74,RU,1669748053
4,chisinau,47.0056,28.8575,3.24,99,100,3.6,MD,1669748054
5,punta arenas,-53.15,-70.9167,10.06,53,75,11.83,CL,1669747972
6,selje,62.0459,5.351,7.43,70,100,3.08,NO,1669748056
7,oriximina,-1.7656,-55.8661,29.56,61,95,2.11,BR,1669748056
8,touros,-5.1989,-35.4608,27.31,68,91,5.6,BR,1669748057
9,hilo,19.7297,-155.09,25.06,85,20,3.09,US,1669747854
10,bagdarin,54.4333,113.6,-31.09,89,22,2.17,RU,1669748058
11,qaanaaq,77.484,-69.3632,-26.29,79,14,2.14,GL,1669747786
12,rikitea,-23.1203,-134.9692,22.4,76,95,7.67,PF,1669748059
13,bluff,-46.6,168.3333,12.18,82,100,3.92,NZ,1669748060
14,albany,42.6001,-73.9662,3.98,68,100,1.89,US,1669747994
15,warrington,53.3925,-2.5802,6.04,96,100,3.6,GB,1669748061
16,busselton,-33.65,115.3333,21.31,48,74,5.93,AU,1669748062
17,kaitangata,-46.2817,169.8464,11.77,95,100,2.05,NZ,1669748062
18,avarua,-21.2078,-159.775,26.03,78,75,5.66,CK,1669748063
19,kapaa,22.0752,-159.319,26.99,92,54,0.97,US,1669748064
20,pevek,69.7008,170.3133,-13.39,96,100,0.37,RU,1669748064
21,esperance,-33.8667,121.9,16.01,73,16,7.51,AU,1669748065
22,gat,31.61,34.7642,17.44,100,6,1.56,IL,1669748065
23,turukhansk,65.8167,87.9833,-21.92,99,100,2.56,RU,1669748066
24,ponta do sol,32.6667,-17.1,19.35,59,31,0.98,PT,1669748067
25,vanavara,60.34,102.2797,-21.05,98,97,2.49,RU,1669748067
26,quatre cocos,-20.2078,57.7625,24.06,75,96,3.79,MU,1669748068
27,bengkulu,-3.8004,102.2655,24.45,90,100,1.13,ID,1669748069
